command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Keyboard +3-1,John,TEXT,1597933147560,,1597933150715
lastname,Autofill,Watson,TEXT,1597933150725,,1597933150729
address,Autofill,"221B, Baker Street",TEXT,1597933150737,,1597933150739
country,Autofill,United Kingdom,SELECT,1597933150744,,1597933150757
pin,Autofill,NW1 6XE,TEXT,1597933150768,,1597933150771
email,Autofill,johnw@beingdoctor.com,TEXT,1597933150778,,1597933150782
phone,Autofill,+12634888,TEXT,1597933150796,,1597933150801
city,Autofill,London,TEXT,1597933150808,,1597933150811
profession,Mouse Click,doctor,SELECT,1597933152369,,1597933159943
landmark,Keyboard +2-0,Library,TEXT,1597933159951,,1597933163496
state,Keyboard +2-0,England,TEXT,1597933163508,,1597933166729
gender,Mouse Click,male,RADIO,1597933167614,,1597933169102
vehicle,Mouse Click,car,CHECKBOX,1597933169108,,1597933171155
range,Mouse Click,36,RANGE,1597933171166,,1597933173102
description,Keyboard +14-3,John watson,TEXTAREA,1597933173110,,1597933179190
save,Mouse Click,,SUBMIT,1597933179830,,1597933179874
