command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Keyboard +2-0,John,TEXT,1597413393120,,1597413395576
lastname,Autofill,Watson,TEXT,1597413395586,,1597413395589
address,Autofill,"221B, Baker Street",TEXT,1597413395596,,1597413395598
country,Autofill,United Kingdom,SELECT,1597413395607,,1597413395618
pin,Autofill,NW1 6XE,TEXT,1597413395623,,1597413395625
email,Autofill,johnw@beingdoctor.com,TEXT,1597413395635,,1597413395638
phone,Autofill,+12634888,TEXT,1597413395649,,1597413395656
city,Autofill,London,TEXT,1597413395662,,1597413395664
firstname,Keyboard +1-0,John,TEXT,1597413393120,,1597413395687
firstname,Keyboard +2-0,John,TEXT,1597413395581,,1597413395690
firstname,Keyboard +3-0,John,TEXT,1597413395677,,1597413395697
lastname,Keyboard +1-0,Watson,TEXT,1597413395586,,1597413396240
lastname,Keyboard +2-0,Watson,TEXT,1597413395593,,1597413396243
lastname,Keyboard +3-0,Watson,TEXT,1597413395713,,1597413396246
address,Keyboard +1-0,"221B, Baker Street",TEXT,1597413395596,,1597413396447
address,Keyboard +2-0,"221B, Baker Street",TEXT,1597413395603,,1597413396452
address,Keyboard +3-0,"221B, Baker Street",TEXT,1597413396254,,1597413396458
country,Keyboard +1-0,United Kingdom,SELECT,1597413395607,,1597413396655
country,Keyboard +2-0,United Kingdom,SELECT,1597413395622,,1597413396659
country,Keyboard +3-0,United Kingdom,SELECT,1597413396466,,1597413396662
pin,Keyboard +1-0,NW1 6XE,TEXT,1597413395623,,1597413396863
pin,Keyboard +2-0,NW1 6XE,TEXT,1597413395632,,1597413396867
pin,Keyboard +3-0,NW1 6XE,TEXT,1597413396671,,1597413396872
email,Keyboard +1-0,johnw@beingdoctor.com,TEXT,1597413395635,,1597413397441
email,Keyboard +2-0,johnw@beingdoctor.com,TEXT,1597413395648,,1597413397444
email,Keyboard +3-0,johnw@beingdoctor.com,TEXT,1597413396879,,1597413397447
profession,Keyboard +4-0,doctor,SELECT,1597413397455,,1597413399975
landmark,Keyboard +3-0,L,TEXT,1597413399982,,1597413402840
phone,Keyboard +4-0,Library,TEXT,1597413395649,,1597413404176
phone,Keyboard +5-0,Library,TEXT,1597413395660,,1597413404199
phone,Keyboard +6-0,Library,TEXT,1597413402847,,1597413404220
landmark,Keyboard +4-0,Library,TEXT,1597413399982,,1597413411421
landmark,Keyboard +5-0,Library,TEXT,1597413402844,,1597413411442
landmark,Keyboard +6-0,Library,TEXT,1597413404288,,1597413411461
phone,Keyboard +1-40,0112276899,TEXT,1597413395649,,1597413417464
phone,Keyboard +2-40,0112276899,TEXT,1597413395660,,1597413417495
phone,Keyboard +3-40,0112276899,TEXT,1597413402847,,1597413417524
phone,Keyboard +4-40,0112276899,TEXT,1597413404264,,1597413417548
phone,Keyboard +5-40,0112276899,TEXT,1597413411512,,1597413417577
state,Autofill,Florida,TEXT,1597413417617,,1597413417631
phone,Keyboard -64,,TEXT,1597413395649,,1597413430122
phone,Keyboard -65,,TEXT,1597413395660,,1597413430156
phone,Keyboard -66,,TEXT,1597413402847,,1597413430210
phone,Keyboard -67,,TEXT,1597413404264,,1597413430240
phone,Keyboard -68,,TEXT,1597413411512,,1597413430266
phone,Keyboard -69,,TEXT,1597413417606,,1597413430296
phone,Keyboard -70,,TEXT,1597413417667,,1597413430327
phone,Keyboard -1,0112634888,TEXT,1597413395649,,1597413440396
phone,Keyboard -2,0112634888,TEXT,1597413395660,,1597413440426
phone,Keyboard -3,0112634888,TEXT,1597413402847,,1597413440461
phone,Keyboard -4,0112634888,TEXT,1597413404264,,1597413440482
phone,Keyboard -5,0112634888,TEXT,1597413411512,,1597413440512
phone,Keyboard -6,0112634888,TEXT,1597413417606,,1597413440540
phone,Keyboard -7,0112634888,TEXT,1597413417667,,1597413440570
phone,Keyboard -8,0112634888,TEXT,1597413430364,,1597413440601
phone,Keyboard -9,0112634888,TEXT,1597413435046,,1597413440669
gender,Mouse Click,male,RADIO,1597413440739,,1597413444230
vehicle,Autofill,car,CHECKBOX,1597413444291,,1597413447224
vehicle,Mouse Click,car,CHECKBOX,1597413444291,,1597413450379
vehicle,Mouse Click,car,CHECKBOX,1597413447250,,1597413450398
vehicle,Mouse Click,car,CHECKBOX,1597413448883,,1597413450415
range,Autofill,36,RANGE,1597413450452,,1597413454696
description,Keyboard +1-0,,TEXTAREA,1597413454706,,1597413455821
description,Keyboard +13-0,Test,TEXTAREA,1597413454706,,1597413463585
description,Keyboard +14-0,Test,TEXTAREA,1597413455844,,1597413463589
description,Keyboard +15-0,Test,TEXTAREA,1597413459420,,1597413463594
