command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,Bruce,TEXT,1597921324367,,1597921327368
lastname,Autofill,Wayne,TEXT,1597921327379,,1597921327381
address,Autofill,1007 Mountain Drive,TEXT,1597921327387,,1597921327391
country,Autofill,USA,SELECT,1597921327403,,1597921327410
pin,Autofill,07001,TEXT,1597921327422,,1597921327427
email,Autofill,batbruce@rich.com,TEXT,1597921327437,,1597921327440
phone,Autofill,12233447890,TEXT,1597921327449,,1597921327453
city,Autofill,Gotham,TEXT,1597921327468,,1597921327473
state,Autofill,New York,TEXT,1597921327481,,1597921327485
profession,Mouse Click,CEO,SELECT,1597921328834,,1597921331563
landmark,Mouse Click,Hospital,TEXT,1597921331930,,1597921333318
gender,Mouse Click,male,RADIO,1597921335112,,1597921336175
vehicle,Mouse Click,bike,CHECKBOX,1597921337279,,1597921337992
range,Mouse Click,38,RANGE,1597921339059,,1597921340882
description,Keyboard +4-0,dffd,TEXTAREA,1597921340890,,1597921342731
save,Mouse Click,,SUBMIT,1597921343763,,1597921343850
