command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Keyboard +3-0,Bruce,TEXT,1597754368052,,1597754370579
lastname,Autofill,Wayne,TEXT,1597754370588,,1597754370592
address,Autofill,1007 Mountain Drive,TEXT,1597754370597,,1597754370600
country,Autofill,USA,SELECT,1597754370608,,1597754370616
pin,Autofill,07001,TEXT,1597754370625,,1597754370630
email,Autofill,batbruce@rich.com,TEXT,1597754370637,,1597754370639
phone,Autofill,12233447890,TEXT,1597754370647,,1597754370653
city,Autofill,Gotham,TEXT,1597754370663,,1597754370668
state,Autofill,New York,TEXT,1597754370676,,1597754370679
profession,Keyboard +1-0,CEO,SELECT,1597754372469,,1597754376152
landmark,Keyboard +1-0,Hospital,TEXT,1597754376159,,1597754378672
gender,Keyboard +2-0,male,RADIO,1597754379769,,1597754381351
gender,Keyboard +1-0,female,RADIO,1597754381360,,1597754381607
vehicle,Keyboard +1-0,bike,CHECKBOX,1597754382849,,1597754385656
vehicle,Keyboard +2-0,car,CHECKBOX,1597754385661,,1597754389033
range,Mouse Click,38,RANGE,1597754391563,,1597754393505
description,Keyboard +34-7,this is a short description,TEXTAREA,1597754393895,,1597754404272
save,Mouse Click,,SUBMIT,1597754404277,,1597754407008
