command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,Harry,TEXT,1597101911471,,1597101912310
lastname,Autofill,Potter,TEXT,1597101912336,,1597101912340
address,Autofill,"4, Privet Drive",TEXT,1597101912352,,1597101912356
country,Autofill,United Kingdom,SELECT,1597101912367,,1597101912380
pin,Autofill,RG12 9FG,TEXT,1597101912390,,1597101912394
email,Autofill,harry.potter@hogwarts.com,TEXT,1597101912404,,1597101912408
city,Autofill,Surrey,TEXT,1597101912417,,1597101912421
firstname,Autofill,Harry,TEXT,1597101911471,,1597101912920
firstname,Autofill,Harry,TEXT,1597101912332,,1597101912934
firstname,Autofill,Harry,TEXT,1597101912432,,1597101912941
phone,Autofill,01747503639,TEXT,1597101914739,,1597101915970
phone,Keyboard +28-33,5213961394,TEXT,1597101914739,,1597101932723
phone,Keyboard +29-33,5213961394,TEXT,1597101915975,,1597101932729
phone,Keyboard +30-33,5213961394,TEXT,1597101915978,,1597101932733
state,Keyboard +2-0,Watford,TEXT,1597101934349,,1597101936665
gender,Mouse Click,male,RADIO,1597101940049,,1597101940553
vehicle,Mouse Click,bike,CHECKBOX,1597101942483,,1597101942803
range,Autofill,20,RANGE,1597101948512,,1597101956615
profession,Autofill,student,SELECT,1597101962013,,1597101965266
landmark,Autofill,School,TEXT,1597101966299,,1597101968204
description,Keyboard +38-4,Description about Harry Potter.,TEXTAREA,1597101968233,,1597101983115
