command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,Nancy,TEXT,1597834837896,,1597834839540
lastname,Autofill,Drew,TEXT,1597834839546,,1597834839550
address,Autofill,"69, Seeawl Lane",TEXT,1597834839559,,1597834839563
country,Autofill,USA,SELECT,1597834839571,,1597834839578
pin,Autofill,07101,TEXT,1597834839590,,1597834839595
email,Autofill,nancy.drew@sleuth.com,TEXT,1597834839603,,1597834839606
phone,Autofill,128665980,TEXT,1597834839613,,1597834839618
city,Autofill,River Heights,TEXT,1597834839630,,1597834839633
profession,Mouse Click,detective,SELECT,1597834840868,,1597834844403
landmark,Mouse Click,Police Station,TEXT,1597834844410,,1597834848653
state,Mouse Click,,TEXT,1597834848661,,1597834849870
state,Mouse Click,Florida,TEXT,1597834848661,,1597834851246
gender,Mouse Click,female,RADIO,1597834855694,,1597834858636
vehicle,Mouse Click,boat,CHECKBOX,1597834858647,,1597834861217
range,Mouse Click,25,RANGE,1597834861223,,1597834863836
description,Keyboard +18-0,mY NAME IS NANCY,TEXTAREA,1597834863843,,1597834871160
save,Mouse Click,,SUBMIT,1597834871168,,1597834873744
