command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Keyboard +3-0,Nancy,TEXT,1597225494427,,1597225497029
lastname,Autofill,Drew,TEXT,1597225497042,,1597225497046
address,Autofill,"69, Seeawl Lane",TEXT,1597225497053,,1597225497055
country,Autofill,USA,SELECT,1597225497061,,1597225497072
pin,Autofill,07101,TEXT,1597225497082,,1597225497084
email,Autofill,nancy.drew@sleuth.com,TEXT,1597225497090,,1597225497092
phone,Autofill,128665980,TEXT,1597225497112,,1597225497115
city,Autofill,River Heights,TEXT,1597225497125,,1597225497127
firstname,Keyboard +1-0,Nancy,TEXT,1597225494427,,1597225499333
firstname,Keyboard +2-0,Nancy,TEXT,1597225497040,,1597225499337
firstname,Keyboard +3-0,Nancy,TEXT,1597225497140,,1597225499342
lastname,Keyboard +1-0,Drew,TEXT,1597225497042,,1597225499636
lastname,Keyboard +2-0,Drew,TEXT,1597225497051,,1597225499641
lastname,Keyboard +3-0,Drew,TEXT,1597225499350,,1597225499645
address,Keyboard +1-0,"69, Seeawl Lane",TEXT,1597225497053,,1597225500540
address,Keyboard +2-0,"69, Seeawl Lane",TEXT,1597225497059,,1597225500543
address,Keyboard +3-0,"69, Seeawl Lane",TEXT,1597225499654,,1597225500547
country,Autofill,USA,SELECT,1597225497061,,1597225501954
country,Autofill,USA,SELECT,1597225497080,,1597225501957
country,Autofill,USA,SELECT,1597225500554,,1597225501960
state,Keyboard +3-0,Florida,TEXT,1597225501969,,1597225506453
state,Keyboard +3-0,Florida,TEXT,1597225501969,,1597225508851
state,Autofill,Florida,TEXT,1597225506457,,1597225508855
state,Autofill,Florida,TEXT,1597225506458,,1597225508861
gender,Mouse Click,female,RADIO,1597225509412,,1597225512075
vehicle,Mouse Click,boat,CHECKBOX,1597225512081,,1597225515395
range,Autofill,25,RANGE,1597225515401,,1597225519037
profession,Autofill,detective,SELECT,1597225519044,,1597225522019
description,Keyboard +3-0,no ,TEXTAREA,1597225522024,,1597225524955
landmark,Keyboard +3-0,Police Station,TEXT,1597225524964,,1597225530038
