command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Keyboard +2-0,Nancy,TEXT,1597413319342,,1597413321804
lastname,Autofill,Drew,TEXT,1597413321812,,1597413321818
address,Autofill,"69, Seeawl Lane",TEXT,1597413321823,,1597413321825
country,Autofill,USA,SELECT,1597413321831,,1597413321840
pin,Autofill,07101,TEXT,1597413321851,,1597413321855
email,Autofill,nancy.drew@sleuth.com,TEXT,1597413321866,,1597413321870
phone,Autofill,128665980,TEXT,1597413321882,,1597413321887
city,Autofill,River Heights,TEXT,1597413321897,,1597413321901
firstname,Keyboard +1-0,Nancy,TEXT,1597413319342,,1597413321923
firstname,Keyboard +2-0,Nancy,TEXT,1597413321810,,1597413321928
firstname,Keyboard +3-0,Nancy,TEXT,1597413321911,,1597413321936
lastname,Keyboard +1-0,Drew,TEXT,1597413321812,,1597413323607
lastname,Keyboard +2-0,Drew,TEXT,1597413321821,,1597413323610
lastname,Keyboard +3-0,Drew,TEXT,1597413321954,,1597413323614
address,Keyboard +1-0,"69, Seeawl Lane",TEXT,1597413321823,,1597413323807
address,Keyboard +2-0,"69, Seeawl Lane",TEXT,1597413321828,,1597413323811
address,Keyboard +3-0,"69, Seeawl Lane",TEXT,1597413323624,,1597413323815
country,Keyboard +1-0,USA,SELECT,1597413321831,,1597413323998
country,Keyboard +2-0,USA,SELECT,1597413321848,,1597413324006
country,Keyboard +3-0,USA,SELECT,1597413323826,,1597413324013
pin,Keyboard +1-0,07101,TEXT,1597413321851,,1597413324218
pin,Keyboard +2-0,07101,TEXT,1597413321861,,1597413324223
pin,Keyboard +3-0,07101,TEXT,1597413324025,,1597413324227
email,Keyboard +1-0,nancy.drew@sleuth.com,TEXT,1597413321866,,1597413324553
email,Keyboard +2-0,nancy.drew@sleuth.com,TEXT,1597413321879,,1597413324556
email,Keyboard +3-0,nancy.drew@sleuth.com,TEXT,1597413324239,,1597413324560
profession,Keyboard +1-0,,SELECT,1597413324567,,1597413324918
landmark,Keyboard +2-0,,TEXT,1597413324924,,1597413326151
profession,Keyboard +7-0,detective,SELECT,1597413324567,,1597413328238
profession,Keyboard +8-0,detective,SELECT,1597413324921,,1597413328241
profession,Keyboard +9-0,detective,SELECT,1597413326156,,1597413328246
landmark,Keyboard +7-0,hospital,TEXT,1597413324924,,1597413331097
landmark,Keyboard +8-0,hospital,TEXT,1597413326154,,1597413331102
landmark,Keyboard +9-0,hospital,TEXT,1597413328253,,1597413331110
phone,Keyboard +4-0,128665980,TEXT,1597413321882,,1597413332432
phone,Keyboard +5-0,128665980,TEXT,1597413321892,,1597413332437
phone,Keyboard +6-0,128665980,TEXT,1597413331123,,1597413332442
landmark,Keyboard +11-0,Police Station,TEXT,1597413324924,,1597413334876
landmark,Keyboard +12-0,Police Station,TEXT,1597413326154,,1597413334879
landmark,Keyboard +13-0,Police Station,TEXT,1597413328253,,1597413334885
landmark,Keyboard +14-0,Police Station,TEXT,1597413331116,,1597413334888
landmark,Keyboard +15-0,Police Station,TEXT,1597413332451,,1597413334892
phone,Keyboard +1-0,128665980,TEXT,1597413321882,,1597413335679
phone,Keyboard +2-0,128665980,TEXT,1597413321892,,1597413335684
phone,Keyboard +3-0,128665980,TEXT,1597413331123,,1597413335686
phone,Keyboard +4-0,128665980,TEXT,1597413332445,,1597413335689
phone,Keyboard +5-0,128665980,TEXT,1597413334903,,1597413335693
city,Keyboard +1-0,River Heights,TEXT,1597413321897,,1597413335887
city,Keyboard +2-0,River Heights,TEXT,1597413321909,,1597413335890
city,Keyboard +3-0,River Heights,TEXT,1597413335705,,1597413335894
state,Keyboard +2-0,Florida,TEXT,1597413335906,,1597413338673
state,Keyboard +1-0,Florida,TEXT,1597413335906,,1597413338684
state,Keyboard +2-0,Florida,TEXT,1597413338677,,1597413338688
state,Keyboard +3-0,Florida,TEXT,1597413338679,,1597413338692
gender,Autofill,male,RADIO,1597413338707,,1597413341430
gender,Mouse Click,female,RADIO,1597413341439,,1597413345343
vehicle,Mouse Click,boat,CHECKBOX,1597413345351,,1597413348664
range,Autofill,25,RANGE,1597413348671,,1597413352551
description,Keyboard +5-0,Test,TEXTAREA,1597413352558,,1597413354075
