command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
address,Autofill,,TEXT,1597909328153,,1597909330804
firstname,Autofill,Sherlock,TEXT,1597909331796,,1597909338400
lastname,Autofill,Holmes,TEXT,1597909338412,,1597909338417
address,Autofill,"221B, Baker Street",TEXT,1597909328153,,1597909338437
country,Autofill,United Kingdom,SELECT,1597909338468,,1597909338476
pin,Autofill,NW1 6XE,TEXT,1597909338491,,1597909338499
email,Autofill,sherlock@gov.uk,TEXT,1597909338513,,1597909338520
phone,Autofill,01747503639,TEXT,1597909338540,,1597909338546
city,Autofill,London,TEXT,1597909338560,,1597909338568
firstname,Keyboard +0-15,,TEXT,1597909331796,,1597909353375
lastname,Keyboard +0-1,,TEXT,1597909338412,,1597909354878
firstname,Autofill,Nancy,TEXT,1597909331796,,1597909360068
lastname,Autofill,Drew,TEXT,1597909338412,,1597909360103
address,Autofill,"69, Seeawl Lane",TEXT,1597909328153,,1597909360152
profession,Mouse Click,detective,SELECT,1597909365112,,1597909375595
landmark,Autofill,Police Station,TEXT,1597909375605,,1597909380160
phone,Keyboard +3-0,128665980,TEXT,1597909338540,,1597909388503
city,Keyboard +2-0,River Heights,TEXT,1597909338560,,1597909391671
state,Mouse Click,,TEXT,1597909393132,,1597909394645
state,Mouse Click,Florida,TEXT,1597909393132,,1597909398325
gender,Mouse Click,female,RADIO,1597909402465,,1597909402970
vehicle,Mouse Click,boat,CHECKBOX,1597909407270,,1597909407860
range,Mouse Click,25,RANGE,1597909410187,,1597909415515
description,Keyboard +10-1,something,TEXTAREA,1597909416559,,1597909422936
save,Mouse Click,,SUBMIT,1597909422943,,1597909426221
