command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
email,Keyboard +1-0,sherlock@gov.uk,TEXT,1597133884858,,1597133890734
firstname,Autofill,Sherlock,TEXT,1597133890744,,1597133890747
lastname,Autofill,Holmes,TEXT,1597133890755,,1597133890756
address,Autofill,"221B, Baker Street",TEXT,1597133890763,,1597133890769
country,Autofill,United Kingdom,SELECT,1597133890781,,1597133890788
pin,Autofill,NW1 6XE,TEXT,1597133890800,,1597133890803
phone,Autofill,01747503639,TEXT,1597133890813,,1597133890817
city,Autofill,London,TEXT,1597133890823,,1597133890824
email,Keyboard +1-0,sherlock@gov.uk,TEXT,1597133884858,,1597133893348
email,Autofill,sherlock@gov.uk,TEXT,1597133890739,,1597133893352
email,Autofill,sherlock@gov.uk,TEXT,1597133890834,,1597133893355
phone,Autofill,01747503639,TEXT,1597133890813,,1597133894385
phone,Autofill,01747503639,TEXT,1597133890820,,1597133894390
phone,Autofill,01747503639,TEXT,1597133893365,,1597133894394
phone,Keyboard -1,1747503639,TEXT,1597133890813,,1597133900938
phone,Keyboard -2,1747503639,TEXT,1597133890820,,1597133900940
phone,Keyboard -3,1747503639,TEXT,1597133893365,,1597133900943
phone,Keyboard -4,1747503639,TEXT,1597133894402,,1597133900948
phone,Keyboard -5,1747503639,TEXT,1597133895995,,1597133900953
range,Autofill,35,RANGE,1597133902834,,1597133906338
email,Keyboard +3-0,sherlock@gov.uk,TEXT,1597133916154,,1597133919286
firstname,Autofill,Sherlock,TEXT,1597133919291,,1597133919292
lastname,Autofill,Holmes,TEXT,1597133919357,,1597133919360
address,Autofill,"221B, Baker Street",TEXT,1597133919375,,1597133919379
country,Autofill,United Kingdom,SELECT,1597133919390,,1597133919415
pin,Autofill,NW1 6XE,TEXT,1597133919437,,1597133919442
phone,Autofill,01747503639,TEXT,1597133919454,,1597133919458
city,Autofill,London,TEXT,1597133919467,,1597133919470
email,Keyboard +3-0,sherlock@gov.uk,TEXT,1597133916154,,1597133921522
email,Autofill,sherlock@gov.uk,TEXT,1597133919289,,1597133921524
email,Autofill,sherlock@gov.uk,TEXT,1597133919494,,1597133921529
phone,Keyboard -1,1747503639,TEXT,1597133919454,,1597133928083
phone,Keyboard -2,1747503639,TEXT,1597133919464,,1597133928086
phone,Keyboard -3,1747503639,TEXT,1597133921540,,1597133928089
range,Autofill,35,RANGE,1597133928103,,1597133931442
