command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
phone,Keyboard +2-0,01747503639,TEXT,1597225148249,,1597225151923
firstname,Autofill,Sherlock,TEXT,1597225151932,,1597225151934
lastname,Autofill,Holmes,TEXT,1597225151948,,1597225151951
address,Autofill,"221B, Baker Street",TEXT,1597225151959,,1597225151961
country,Autofill,United Kingdom,SELECT,1597225151974,,1597225151977
pin,Autofill,NW1 6XE,TEXT,1597225151987,,1597225151990
email,Autofill,sherlock@gov.uk,TEXT,1597225151998,,1597225152003
city,Autofill,London,TEXT,1597225152016,,1597225152020
phone,Keyboard +1-0,01747503639,TEXT,1597225148249,,1597225152449
phone,Keyboard +2-0,01747503639,TEXT,1597225151927,,1597225152452
phone,Keyboard +3-0,01747503639,TEXT,1597225152032,,1597225152456
city,Keyboard +1-0,London,TEXT,1597225152016,,1597225152753
city,Keyboard +2-0,London,TEXT,1597225152028,,1597225152758
city,Keyboard +3-0,London,TEXT,1597225152467,,1597225152763
state,Keyboard +1-0,England,TEXT,1597225152775,,1597225153017
gender,Keyboard +1-0,male,RADIO,1597225153025,,1597225153639
vehicle,Autofill,bike,CHECKBOX,1597225153647,,1597225157487
range,Autofill,35,RANGE,1597225157493,,1597225170200
phone,Keyboard +46-5,1747503639,TEXT,1597225148249,,1597225187633
phone,Keyboard +47-5,1747503639,TEXT,1597225151927,,1597225187640
phone,Keyboard +48-5,1747503639,TEXT,1597225152032,,1597225187644
phone,Keyboard +49-5,1747503639,TEXT,1597225152462,,1597225187647
phone,Keyboard +50-5,1747503639,TEXT,1597225170206,,1597225187656
