command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
email,Keyboard +4-9,sherlock@gov.uk,TEXT,1597412968908,,1597412973278
firstname,Autofill,Sherlock,TEXT,1597412973284,,1597412973285
lastname,Autofill,Holmes,TEXT,1597412973292,,1597412973293
address,Autofill,"221B, Baker Street",TEXT,1597412973301,,1597412973303
country,Autofill,United Kingdom,SELECT,1597412973310,,1597412973312
pin,Autofill,NW1 6XE,TEXT,1597412973324,,1597412973326
phone,Autofill,01747503639,TEXT,1597412973332,,1597412973337
city,Autofill,London,TEXT,1597412973348,,1597412973352
email,Keyboard +1-0,sherlock@gov.uk,TEXT,1597412968908,,1597412973363
email,Keyboard +2-0,sherlock@gov.uk,TEXT,1597412973282,,1597412973370
email,Keyboard +3-0,sherlock@gov.uk,TEXT,1597412973359,,1597412973376
profession,Keyboard +1-0,detective,SELECT,1597412973392,,1597412976133
landmark,Keyboard +1-0,Hospital,TEXT,1597412976141,,1597412976380
phone,Keyboard +1-3,01747503639,TEXT,1597412973332,,1597412982872
phone,Keyboard +2-3,01747503639,TEXT,1597412973344,,1597412982875
phone,Keyboard +3-3,01747503639,TEXT,1597412976387,,1597412982882
phone,Keyboard +1-0,01747503639,TEXT,1597412973332,,1597412982888
phone,Keyboard +2-0,01747503639,TEXT,1597412973344,,1597412982891
phone,Keyboard +3-0,01747503639,TEXT,1597412976387,,1597412982894
phone,Keyboard +4-0,01747503639,TEXT,1597412982885,,1597412982901
phone,Keyboard +5-0,01747503639,TEXT,1597412982886,,1597412982908
city,Keyboard +4-0,London,TEXT,1597412973348,,1597412984036
city,Keyboard +5-0,London,TEXT,1597412973358,,1597412984040
city,Keyboard +6-0,London,TEXT,1597412982922,,1597412984043
phone,Keyboard +29-7,1747503639,TEXT,1597412973332,,1597412987828
phone,Keyboard +30-7,1747503639,TEXT,1597412973344,,1597412987832
phone,Keyboard +31-7,1747503639,TEXT,1597412976387,,1597412987836
phone,Keyboard +32-7,1747503639,TEXT,1597412982885,,1597412987841
phone,Keyboard +33-7,1747503639,TEXT,1597412982886,,1597412987844
phone,Keyboard +34-7,1747503639,TEXT,1597412982914,,1597412987850
phone,Keyboard +35-7,1747503639,TEXT,1597412984051,,1597412987855
city,Keyboard +1-0,London,TEXT,1597412973348,,1597412988044
city,Keyboard +2-0,London,TEXT,1597412973358,,1597412988047
city,Keyboard +3-0,London,TEXT,1597412982922,,1597412988049
city,Keyboard +4-0,London,TEXT,1597412984047,,1597412988055
city,Keyboard +5-0,London,TEXT,1597412987863,,1597412988057
state,Keyboard +1-0,England,TEXT,1597412988064,,1597412988237
gender,Autofill,male,RADIO,1597412988244,,1597412989476
range,Autofill,19,RANGE,1597412989483,,1597412991171
range,Autofill,35,RANGE,1597412989483,,1597412995123
range,Autofill,35,RANGE,1597412991174,,1597412995125
range,Autofill,35,RANGE,1597412991598,,1597412995128
