command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
lastname,Keyboard +4-4,Dr,TEXT,1597412928074,,1597412931116
address,Keyboard +3-0,"69, Seeawl Lane",TEXT,1597412931123,,1597412932491
lastname,Keyboard +4-0,Drew,TEXT,1597412928074,,1597412934725
lastname,Keyboard +5-0,Drew,TEXT,1597412931120,,1597412934728
lastname,Keyboard +6-0,Drew,TEXT,1597412932497,,1597412934733
firstname,Autofill,Nancy,TEXT,1597412934743,,1597412934744
address,Keyboard +3-0,"69, Seeawl Lane",TEXT,1597412931123,,1597412934756
address,Autofill,"69, Seeawl Lane",TEXT,1597412932494,,1597412934760
address,Autofill,"69, Seeawl Lane",TEXT,1597412934753,,1597412934770
country,Autofill,USA,SELECT,1597412934786,,1597412934789
pin,Autofill,07101,TEXT,1597412934800,,1597412934802
email,Autofill,nancy.drew@sleuth.com,TEXT,1597412934822,,1597412934824
phone,Autofill,128665980,TEXT,1597412934836,,1597412934841
city,Autofill,River Heights,TEXT,1597412934849,,1597412934851
lastname,Keyboard +1-0,Drew,TEXT,1597412928074,,1597412934869
lastname,Keyboard +2-0,Drew,TEXT,1597412931120,,1597412934876
lastname,Keyboard +3-0,Drew,TEXT,1597412932497,,1597412934882
lastname,Keyboard +4-0,Drew,TEXT,1597412934740,,1597412934890
lastname,Keyboard +5-0,Drew,TEXT,1597412934862,,1597412934894
address,Keyboard +1-0,"69, Seeawl Lane",TEXT,1597412931123,,1597412935811
address,Keyboard +2-0,"69, Seeawl Lane",TEXT,1597412932494,,1597412935814
address,Keyboard +3-0,"69, Seeawl Lane",TEXT,1597412934753,,1597412935817
address,Keyboard +4-0,"69, Seeawl Lane",TEXT,1597412934784,,1597412935820
address,Keyboard +5-0,"69, Seeawl Lane",TEXT,1597412934904,,1597412935824
country,Keyboard +1-0,USA,SELECT,1597412934786,,1597412936314
country,Keyboard +2-0,USA,SELECT,1597412934795,,1597412936317
country,Keyboard +3-0,USA,SELECT,1597412935832,,1597412936319
pin,Keyboard +1-0,07101,TEXT,1597412934800,,1597412936858
pin,Keyboard +2-0,07101,TEXT,1597412934817,,1597412936863
pin,Keyboard +3-0,07101,TEXT,1597412936326,,1597412936867
email,Keyboard +1-0,nancy.drew@sleuth.com,TEXT,1597412934822,,1597412937675
email,Keyboard +2-0,nancy.drew@sleuth.com,TEXT,1597412934833,,1597412937678
email,Keyboard +3-0,nancy.drew@sleuth.com,TEXT,1597412936879,,1597412937682
profession,Keyboard +5-0,detective,SELECT,1597412937690,,1597412941954
landmark,Keyboard +1-0,Police Station,TEXT,1597412941959,,1597412942955
phone,Keyboard +1-0,128665980,TEXT,1597412934836,,1597412943419
phone,Keyboard +2-0,128665980,TEXT,1597412934847,,1597412943422
phone,Keyboard +3-0,128665980,TEXT,1597412942960,,1597412943424
city,Keyboard +1-0,River Heights,TEXT,1597412934849,,1597412943611
city,Keyboard +2-0,River Heights,TEXT,1597412934859,,1597412943615
city,Keyboard +3-0,River Heights,TEXT,1597412943432,,1597412943620
state,Keyboard +1-0,Florida,TEXT,1597412943626,,1597412943836
gender,Keyboard +1-0,female,RADIO,1597412943842,,1597412944826
vehicle,Autofill,bike,CHECKBOX,1597412944831,,1597412947867
vehicle,Keyboard +1-0,boat,CHECKBOX,1597412947874,,1597412949203
range,Keyboard +1-0,25,RANGE,1597412949211,,1597412950098
description,Autofill,Give any description,TEXTAREA,1597412950108,,1597412951567
