command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
Sherlock Holmes,False,,,1597395848132,1597395851176,
I dolphin Sherlock Holmes,False,,,1597395852519,1597395856180,
firstname,Autofill,Sherlock,TEXT,1597395858015,1597395861980,1597395861991
lastname,Autofill,Holmes,TEXT,1597395858015,1597395861980,1597395861992
address,Autofill,"221B, Baker Street",TEXT,1597395858015,1597395861980,1597395861994
country,Autofill,United Kingdom,SELECT,1597395858015,1597395861980,1597395861996
pin,Autofill,NW1 6XE,TEXT,1597395858015,1597395861980,1597395861997
email,Autofill,sherlock@gov.uk,TEXT,1597395858015,1597395861980,1597395861999
phone,Autofill,1747503639,TEXT,1597395858015,1597395861980,1597395862003
city,Autofill,London,TEXT,1597395858015,1597395861980,1597395862006
state,Autofill,,TEXT,1597395858015,1597395861980,1597395862009
profession detective,True,detective,SELECT,1597395863396,1597395866236,1597395866245
landmark Hospital,True,Hospital,TEXT,1597395867163,1597395870122,1597395870130
take inland,False,,,1597395871347,1597395874414,
stayed in line,False,,,1597395875848,1597395879246,
gender male,True,male,RADIO,1597395881176,1597395883414,1597395883427
vehicle car,True,car,CHECKBOX,1597395884340,1597395886789,1597395886799
age 35,True,35,RANGE,1597395887808,1597395890828,1597395890843
description Sherlock details page,True,Sherlock details page,TEXTAREA,1597395891762,1597395896221,1597395896229
State England,True,England,TEXT,1597395897430,1597395900596,1597395900607
sale,False,,,1597395901327,1597395903058,
save,True,,,1597395904484,1597395906507,1597395906515
