command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,Sherlock,TEXT,1597922400576,1597922403599,1597922403610
lastname,Autofill,Holmes,TEXT,1597922400576,1597922403599,1597922403611
address,Autofill,"221B, Baker Street",TEXT,1597922400576,1597922403599,1597922403613
country,Autofill,United Kingdom,SELECT,1597922400576,1597922403599,1597922403616
pin,Autofill,NW1 6XE,TEXT,1597922400576,1597922403599,1597922403618
email,Autofill,sherlock@gov.uk,TEXT,1597922400576,1597922403599,1597922403622
phone,Autofill,1747503639,TEXT,1597922400576,1597922403599,1597922403631
city,Autofill,London,TEXT,1597922400576,1597922403599,1597922403633
state,Autofill,,TEXT,1597922400576,1597922403599,1597922403635
profession detective,True,detective,SELECT,1597922404878,1597922407609,1597922407646
landmark Hospital,True,Hospital,TEXT,1597922408723,1597922411012,1597922411058
State England,True,England,TEXT,1597922412200,1597922414191,1597922414231
gender male,True,male,RADIO,1597922415126,1597922417215,1597922417274
vehicle car,True,car,CHECKBOX,1597922418126,1597922420180,1597922420250
age 35,True,35,RANGE,1597922421042,1597922423395,1597922423449
description a short description of Sherlock,True,a short description of Sherlock,TEXTAREA,1597922424304,1597922428279,1597922428334
save,True,,,1597922429258,1597922431005,1597922431059
