command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,Sherlock,TEXT,1598024951797,1598024954688,1598024954713
lastname,Autofill,Holmes,TEXT,1598024951797,1598024954688,1598024954716
address,Autofill,"221B, Baker Street",TEXT,1598024951797,1598024954688,1598024954719
country,Autofill,United Kingdom,SELECT,1598024951797,1598024954688,1598024954722
pin,Autofill,NW1 6XE,TEXT,1598024951797,1598024954688,1598024954724
email,Autofill,sherlock@gov.uk,TEXT,1598024951797,1598024954688,1598024954726
phone,Autofill,1747503639,TEXT,1598024951797,1598024954688,1598024954730
city,Autofill,London,TEXT,1598024951797,1598024954688,1598024954733
state,Autofill,,TEXT,1598024951797,1598024954688,1598024954735
profession detective,True,detective,SELECT,1598024957068,1598024959720,1598024959730
landmark Hospital,True,Hospital,TEXT,1598024961278,1598024963913,1598024963927
State England,True,England,TEXT,1598024966272,1598024968854,1598024968864
gender male,True,male,RADIO,1598024970191,1598024972827,1598024972840
vehicle car,True,car,CHECKBOX,1598024974392,1598024977008,1598024977018
age 35,True,35,RANGE,1598024978572,1598024981080,1598024981091
description this is a description about,True,this is a description about,TEXTAREA,1598024985262,1598024989693,1598024989703
save,True,,,1598024992026,1598024993802,1598024993812
