command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,Sherlock,TEXT,1597840616597,1597840619710,1597840619728
lastname,Autofill,Holmes,TEXT,1597840616597,1597840619710,1597840619730
address,Autofill,"221B, Baker Street",TEXT,1597840616597,1597840619710,1597840619731
country,Autofill,United Kingdom,SELECT,1597840616597,1597840619710,1597840619733
pin,Autofill,NW1 6XE,TEXT,1597840616597,1597840619710,1597840619738
email,Autofill,sherlock@gov.uk,TEXT,1597840616597,1597840619710,1597840619742
phone,Autofill,1747503639,TEXT,1597840616597,1597840619710,1597840619744
city,Autofill,London,TEXT,1597840616597,1597840619710,1597840619746
state,Autofill,,TEXT,1597840616597,1597840619710,1597840619748
profession detective,True,detective,SELECT,1597840622359,1597840625134,1597840625141
landmark Hospital,True,Hospital,TEXT,1597840626475,1597840629427,1597840629436
state in gland,True,in gland,TEXT,1597840632260,1597840634938,1597840634944
State England,True,England,TEXT,1597840638773,1597840641651,1597840641658
gender male,True,male,RADIO,1597840643507,1597840645630,1597840645640
vehicle car,True,car,CHECKBOX,1597840647558,1597840651088,1597840651097
aged 35,False,,,1597840652173,1597840654632,
aged 35,False,,,1597840656560,1597840659135,
age 35,True,35,RANGE,1597840661860,1597840664954,1597840664963
description this is about Sherlock Holmes,True,this is about Sherlock Holmes,TEXTAREA,1597840667272,1597840672444,1597840672460
save,True,,,1597840673584,1597840675961,1597840675972
