command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
Description John Watson,True,John Watson,TEXTAREA,1597086175231,1597086178171,1597086178180
firstname,Autofill,John,TEXT,1597086179999,1597086183416,1597086183428
lastname,Autofill,Watson,TEXT,1597086179999,1597086183416,1597086183429
address,Autofill,"221B, Baker Street",TEXT,1597086179999,1597086183416,1597086183430
country,Autofill,United Kingdom,SELECT,1597086179999,1597086183416,1597086183431
pin,Autofill,NW1 6XE,TEXT,1597086179999,1597086183416,1597086183433
email,Autofill,johnw@beingdoctor.com,TEXT,1597086179999,1597086183416,1597086183434
phone,Autofill,0112634888,TEXT,1597086179999,1597086183416,1597086183438
city,Autofill,London,TEXT,1597086179999,1597086183416,1597086183440
state,Autofill,,TEXT,1597086179999,1597086183416,1597086183443
Steve England,False,,,1597086185136,1597086188028,1597086188040
State England,True,England,TEXT,1597086190588,1597086193425,1597086193434
gender reveal,True,reveal,FORM,1597086195136,1597086198004,1597086198017
gender reveal,True,reveal,FORM,1597086200556,1597086202984,1597086202998
gender male,True,male,RADIO,1597086205412,1597086208821,1597086208836
vehicle car,True,car,CHECKBOX,1597086209648,1597086213048,1597086213062
profession doctor,True,doctor,SELECT,1597086217651,1597086220721,1597086220735
landmark library,True,library,TEXT,1597086222249,1597086225084,1597086225096
discussion,False,,,1597086226049,1597086228103,1597086228115
this is the short description about Dr Watson,False,,,1597086229094,1597086233969,1597086233985
description,True,,,1597086235446,1597086239018,1597086239033
Description this is a short description about Dr Watson who was always with Sherlock Holmes,True,this is a short description about Dr Watson who was always with Sherlock Holmes,TEXTAREA,1597086239786,1597086245862,1597086245877
save,True,,,1597086247094,1597086249063,1597086249073
