command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,John,TEXT,1597741521530,1597741525043,1597741525054
lastname,Autofill,Watson,TEXT,1597741521530,1597741525043,1597741525057
address,Autofill,"221B, Baker Street",TEXT,1597741521530,1597741525043,1597741525060
country,Autofill,United Kingdom,SELECT,1597741521530,1597741525043,1597741525062
pin,Autofill,NW1 6XE,TEXT,1597741521530,1597741525043,1597741525063
email,Autofill,johnw@beingdoctor.com,TEXT,1597741521530,1597741525043,1597741525065
phone,Autofill,0112634888,TEXT,1597741521530,1597741525043,1597741525068
city,Autofill,London,TEXT,1597741521530,1597741525043,1597741525070
state,Autofill,,TEXT,1597741521530,1597741525043,1597741525071
profession doctor,True,doctor,SELECT,1597741526765,1597741530191,1597741530198
landmark library,True,library,TEXT,1597741531521,1597741535302,1597741535308
State England,True,England,TEXT,1597741536339,1597741540182,1597741540193
gender male,True,male,RADIO,1597741541202,1597741544732,1597741544749
vehicle card,True,card,FORM,1597741545787,1597741549046,
836,False,,,1597741550017,1597741552420,
age,True,,,1597741554040,1597741556171,
Age 36,True,36,RANGE,1597741557065,1597741558646,1597741558660
vehicle car,True,car,CHECKBOX,1597741560986,1597741564638,1597741564650
description John Watson,True,John Watson,TEXTAREA,1597741565962,1597741570127,1597741570135
save,True,,,1597741570976,1597741572922,1597741572931
