command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,John,TEXT,1597735462200,1597735465338,1597735465348
lastname,Autofill,Watson,TEXT,1597735462200,1597735465338,1597735465351
address,Autofill,"221B, Baker Street",TEXT,1597735462200,1597735465338,1597735465354
country,Autofill,United Kingdom,SELECT,1597735462200,1597735465338,1597735465356
pin,Autofill,NW1 6XE,TEXT,1597735462200,1597735465338,1597735465360
email,Autofill,johnw@beingdoctor.com,TEXT,1597735462200,1597735465338,1597735465368
phone,Autofill,0112634888,TEXT,1597735462200,1597735465338,1597735465370
city,Autofill,London,TEXT,1597735462200,1597735465338,1597735465372
state,Autofill,,TEXT,1597735462200,1597735465338,1597735465373
profession doctor,True,doctor,SELECT,1597735467298,1597735469850,1597735469857
landmark library,True,library,TEXT,1597735470664,1597735473117,1597735473124
State England,True,England,TEXT,1597735473832,1597735476116,1597735476179
gender male,True,male,RADIO,1597735477180,1597735479473,1597735479544
vehicle car,True,car,CHECKBOX,1597735481278,1597735483904,1597735483985
age 36,True,36,RANGE,1597735485487,1597735488143,1597735488213
description No comments,True,No comments,TEXTAREA,1597735489224,1597735492089,1597735492148
save,True,,,1597735493626,1597735495782,1597735495860
