command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
Otto John,False,,,1597907130841,1597907135393,
firstname,Autofill,John,TEXT,1597907137314,1597907140140,1597907140150
lastname,Autofill,Watson,TEXT,1597907137314,1597907140140,1597907140152
address,Autofill,"221B, Baker Street",TEXT,1597907137314,1597907140140,1597907140155
country,Autofill,United Kingdom,SELECT,1597907137314,1597907140140,1597907140156
pin,Autofill,NW1 6XE,TEXT,1597907137314,1597907140140,1597907140158
email,Autofill,johnw@beingdoctor.com,TEXT,1597907137314,1597907140140,1597907140160
phone,Autofill,0112634888,TEXT,1597907137314,1597907140140,1597907140162
city,Autofill,London,TEXT,1597907137314,1597907140140,1597907140164
state,Autofill,,TEXT,1597907137314,1597907140140,1597907140166
profession doctor,True,doctor,SELECT,1597907141467,1597907144049,1597907144058
landmark library,True,library,TEXT,1597907145164,1597907147922,1597907147928
State England,True,England,TEXT,1597907148942,1597907151785,1597907151793
gender male,True,male,RADIO,1597907152800,1597907155755,1597907155763
vehicle car,True,car,CHECKBOX,1597907157093,1597907160652,1597907160659
age 36,True,36,RANGE,1597907161773,1597907164953,1597907164959
description short description John Watson,True,short description John Watson,TEXTAREA,1597907166093,1597907170664,1597907170672
save,True,,,1597907172607,1597907174360,1597907174369
