command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,John,TEXT,1597407996870,1597407999650,1597407999662
lastname,Autofill,Watson,TEXT,1597407996870,1597407999650,1597407999664
address,Autofill,"221B, Baker Street",TEXT,1597407996870,1597407999650,1597407999666
country,Autofill,United Kingdom,SELECT,1597407996870,1597407999650,1597407999668
pin,Autofill,NW1 6XE,TEXT,1597407996870,1597407999650,1597407999673
email,Autofill,johnw@beingdoctor.com,TEXT,1597407996870,1597407999650,1597407999680
phone,Autofill,0112634888,TEXT,1597407996870,1597407999650,1597407999684
city,Autofill,London,TEXT,1597407996870,1597407999650,1597407999686
state,Autofill,,TEXT,1597407996870,1597407999650,1597407999688
profession doctor,True,doctor,SELECT,1597408001776,1597408004609,1597408004616
landmark library,True,library,TEXT,1597408006244,1597408009431,1597408009439
State England,True,England,TEXT,1597408010348,1597408013424,1597408013430
gender male,True,male,RADIO,1597408015157,1597408017640,1597408017649
vehicle bike vehicle car,True,bike vehicle car,FORM,1597408018518,1597408024315,
vehicle car,True,car,CHECKBOX,1597408026449,1597408030321,1597408030331
age 36,True,36,RANGE,1597408031946,1597408035292,1597408035300
description,True,,,1597408036226,1597408038374,
Description this is a short description on John Watson,True,this is a short description on John Watson,TEXTAREA,1597408039121,1597408043051,1597408043059
save,True,,,1597408043891,1597408045816,1597408045841
