command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
girls with autofill Bruce Wayne,False,,,1597845527917,1597845532833,
Butterfield Bruce Wayne,False,,,1597845534470,1597845537723,
firstname,Autofill,Bruce,TEXT,1597845540380,1597845544122,1597845544136
lastname,Autofill,Wayne,TEXT,1597845540380,1597845544122,1597845544138
address,Autofill,1007 Mountain Drive,TEXT,1597845540380,1597845544122,1597845544140
country,Autofill,USA,SELECT,1597845540380,1597845544122,1597845544142
pin,Autofill,07001,TEXT,1597845540380,1597845544122,1597845544145
email,Autofill,batbruce@rich.com,TEXT,1597845540380,1597845544122,1597845544148
phone,Autofill,1122334478,TEXT,1597845540380,1597845544122,1597845544155
city,Autofill,Gotham,TEXT,1597845540380,1597845544122,1597845544159
state,Autofill,,TEXT,1597845540380,1597845544122,1597845544162
profession CEO,True,CEO,SELECT,1597845545776,1597845549108,1597845549127
landmark Hospital,True,Hospital,TEXT,1597845550303,1597845552206,1597845552221
State New York,True,New York,TEXT,1597845553441,1597845556273,1597845556283
gender male,True,male,RADIO,1597845557039,1597845558971,1597845558990
vehicle bike,True,bike,CHECKBOX,1597845559708,1597845562083,1597845562096
age 38,True,38,RANGE,1597845562824,1597845566000,1597845566008
description about Batman,True,about Batman,TEXTAREA,1597845566825,1597845570278,1597845570294
save,True,,,1597845571034,1597845572550,1597845572557
