command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
artificial Bruce Wayne,False,,,1597146994546,1597146997469,
firstname,Autofill,Bruce,TEXT,1597146998588,1597147001957,1597147001966
lastname,Autofill,Wayne,TEXT,1597146998588,1597147001957,1597147001968
address,Autofill,1007 Mountain Drive,TEXT,1597146998588,1597147001957,1597147001969
country,Autofill,USA,SELECT,1597146998588,1597147001957,1597147001970
pin,Autofill,07001,TEXT,1597146998588,1597147001957,1597147001972
email,Autofill,batbruce@rich.com,TEXT,1597146998588,1597147001957,1597147001974
phone,Autofill,1122334478,TEXT,1597146998588,1597147001957,1597147001975
city,Autofill,Gotham,TEXT,1597146998588,1597147001957,1597147001977
state,Autofill,,TEXT,1597146998588,1597147001957,1597147001979
profession CEO,True,CEO,SELECT,1597147003274,1597147006264,1597147006269
landmark Hospital,True,Hospital,TEXT,1597147007179,1597147009747,1597147009756
State New York,True,New York,TEXT,1597147011589,1597147014159,1597147014167
gender male,True,male,RADIO,1597147015597,1597147017775,1597147017784
bike,False,,,1597147019904,1597147022047,
vehicle bike,True,bike,CHECKBOX,1597147022989,1597147026186,1597147026203
age 38,True,38,RANGE,1597147027212,1597147029687,1597147029701
description some kind of description about Bruce Wayne,True,some kind of description about Bruce Wayne,TEXTAREA,1597147030736,1597147035312,1597147035326
save,True,,,1597147036434,1597147038254,1597147038264
