command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
auto fail Bruce Wayne,False,,,1597749797229,1597749800790,
firstname,Autofill,Bruce,TEXT,1597749803208,1597749806336,1597749806344
lastname,Autofill,Wayne,TEXT,1597749803208,1597749806336,1597749806347
address,Autofill,1007 Mountain Drive,TEXT,1597749803208,1597749806336,1597749806352
country,Autofill,USA,SELECT,1597749803208,1597749806336,1597749806354
pin,Autofill,07001,TEXT,1597749803208,1597749806336,1597749806356
email,Autofill,batbruce@rich.com,TEXT,1597749803208,1597749806336,1597749806358
phone,Autofill,1122334478,TEXT,1597749803208,1597749806336,1597749806360
city,Autofill,Gotham,TEXT,1597749803208,1597749806336,1597749806365
state,Autofill,,TEXT,1597749803208,1597749806336,1597749806367
profession CEO,True,CEO,SELECT,1597749807974,1597749811550,1597749811561
landmark Hospital,True,Hospital,TEXT,1597749812492,1597749815651,1597749815661
State New York,True,New York,TEXT,1597749816870,1597749819806,1597749819814
gender male,True,male,RADIO,1597749820825,1597749823557,1597749823565
vehicle bike,True,bike,CHECKBOX,1597749824392,1597749827542,1597749827555
age 38,True,38,RANGE,1597749828761,1597749832020,1597749832027
description how are you,True,how are you,TEXTAREA,1597749833241,1597749837093,1597749837101
save,True,,,1597749838936,1597749840686,1597749840693
