command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,Bruce,TEXT,1597759493022,1597759496439,1597759496449
lastname,Autofill,Wayne,TEXT,1597759493022,1597759496439,1597759496452
address,Autofill,1007 Mountain Drive,TEXT,1597759493022,1597759496439,1597759496454
country,Autofill,USA,SELECT,1597759493022,1597759496439,1597759496457
pin,Autofill,07001,TEXT,1597759493022,1597759496439,1597759496461
email,Autofill,batbruce@rich.com,TEXT,1597759493022,1597759496439,1597759496466
phone,Autofill,1122334478,TEXT,1597759493022,1597759496439,1597759496467
city,Autofill,Gotham,TEXT,1597759493022,1597759496439,1597759496469
state,Autofill,,TEXT,1597759493022,1597759496439,1597759496471
profession CEO,True,CEO,SELECT,1597759498907,1597759501474,1597759501482
landmark Hospital,True,Hospital,TEXT,1597759503499,1597759506019,1597759506025
State New York,True,New York,TEXT,1597759506893,1597759509355,1597759509363
gender male,True,male,RADIO,1597759510082,1597759512509,1597759512532
vehicle bike,True,bike,CHECKBOX,1597759513311,1597759516047,1597759516062
8:38,False,,,1597759517082,1597759519648,
8:38,False,,,1597759520869,1597759524107,
age,True,,,1597759525522,1597759527542,
Age 38,True,38,RANGE,1597759528397,1597759533085,1597759533094
description test,True,test,TEXTAREA,1597759534229,1597759536651,1597759536663
save,True,,,1597759538170,1597759540129,1597759540136
