command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
Otto fuel Bruce Wayne,False,,,1597912040175,1597912043039,
auto fail Bruce Wayne,False,,,1597912045359,1597912049046,
firstname,Autofill,Bruce,TEXT,1597912051185,1597912054118,1597912054130
lastname,Autofill,Wayne,TEXT,1597912051185,1597912054118,1597912054132
address,Autofill,1007 Mountain Drive,TEXT,1597912051185,1597912054118,1597912054134
country,Autofill,USA,SELECT,1597912051185,1597912054118,1597912054135
pin,Autofill,07001,TEXT,1597912051185,1597912054118,1597912054138
email,Autofill,batbruce@rich.com,TEXT,1597912051185,1597912054118,1597912054144
phone,Autofill,1122334478,TEXT,1597912051185,1597912054118,1597912054146
city,Autofill,Gotham,TEXT,1597912051185,1597912054118,1597912054148
state,Autofill,,TEXT,1597912051185,1597912054118,1597912054150
profession CEO,True,CEO,SELECT,1597912056050,1597912059506,1597912059512
profession,True,,,1597912060946,1597912063029,
Profession SIA,True,SIA,SELECT,1597912064851,1597912066826,1597912066836
profession CEO,True,CEO,SELECT,1597912068040,1597912073408,1597912073417
landmark Hospital,True,Hospital,TEXT,1597912075047,1597912077975,1597912077982
State New York,True,New York,TEXT,1597912079102,1597912082561,1597912082571
gender male,True,male,RADIO,1597912083777,1597912086230,1597912086239
vehicle bike,True,bike,CHECKBOX,1597912086972,1597912089532,1597912089540
age 38,True,38,RANGE,1597912090861,1597912093542,1597912093550
description something,True,something,TEXTAREA,1597912094377,1597912097032,1597912097040
save,True,,,1597912097749,1597912099591,1597912099598
