command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,Pablo,TEXT,1597140158619,1597140162097,1597140162187
lastname,Autofill,Escobar,TEXT,1597140158619,1597140162097,1597140162197
address,Autofill,5860 North Bay Road,TEXT,1597140158619,1597140162097,1597140162209
country,Autofill,USA,SELECT,1597140158619,1597140162097,1597140162221
pin,Autofill,33140,TEXT,1597140158619,1597140162097,1597140162237
email,Autofill,escobar@netflix.com,TEXT,1597140158619,1597140162097,1597140162269
phone,Autofill,0112276899,TEXT,1597140158619,1597140162097,1597140162292
city,Autofill,Miami,TEXT,1597140158619,1597140162097,1597140162308
state,Autofill,,TEXT,1597140158619,1597140162097,1597140162320
efficient drug lord,False,,,1597140164800,1597140168281,
landmark,True,,,1597140169702,1597140171755,
Landmark laboratory,True,laboratory,TEXT,1597140172411,1597140174008,1597140174016
profession drug lord,True,drug lord,SELECT,1597140175265,1597140178768,1597140178779
state Florida,True,Florida,TEXT,1597140180685,1597140183545,1597140183561
gender male,True,male,RADIO,1597140184988,1597140188038,1597140188050
8:40 8:40,False,,,1597140188890,1597140196377,
age 40,True,40,RANGE,1597140198718,1597140202460,1597140202477
description this is a short description about Pablo Escobar,True,this is a short description about Pablo Escobar,TEXTAREA,1597140203590,1597140209377,1597140209387
the eco car,False,,,1597140210501,1597140213778,
vehicle,Mouse Click,car,CHECKBOX,1597140215136,,1597140217799
save,True,,,1597140219409,1597140221452,1597140221458
