command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,Harry,TEXT,1597845215066,1597845219260,1597845219271
lastname,Autofill,Potter,TEXT,1597845215066,1597845219260,1597845219276
address,Autofill,"4, Privet Drive",TEXT,1597845215066,1597845219260,1597845219278
country,Autofill,United Kingdom,SELECT,1597845215066,1597845219260,1597845219285
pin,Autofill,RG12 9FG,TEXT,1597845215066,1597845219260,1597845219290
email,Autofill,harry.potter@hogwarts.com,TEXT,1597845215066,1597845219260,1597845219294
phone,Autofill,,TEXT,1597845215066,1597845219260,1597845219296
city,Autofill,Surrey,TEXT,1597845215066,1597845219260,1597845219299
state,Autofill,,TEXT,1597845215066,1597845219260,1597845219301
proposition,False,,,1597845225474,1597845227586,
profession engineer,True,engineer,SELECT,1597845229100,1597845238343,1597845238353
profession student,True,student,SELECT,1597845240271,1597845243350,1597845243359
landmark School,True,School,TEXT,1597845244477,1597845247856,1597845247867
phone,True,,,1597845248840,1597845250226,
phone 5213961394,True,5213961394,TEXT,1597845251315,1597845256528,1597845256534
state Watford,True,Watford,TEXT,1597845259649,1597845263018,1597845263027
gender reveal,True,reveal,FORM,1597845264047,1597845267390,
gender male,True,male,RADIO,1597845269210,1597845271673,1597845271686
veygo bike,False,,,1597845273210,1597845278397,
vehicle bike,True,bike,CHECKBOX,1597845281603,1597845284484,1597845284501
age 20,True,20,RANGE,1597845285318,1597845290975,1597845290989
description,True,,,1597845302467,1597845304317,
Description this about Harry Potter test,True,this about Harry Potter test,TEXTAREA,1597845305172,1597845308609,1597845308619
save,True,,,1597845310432,1597845312373,1597845312380
