command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,Harry,TEXT,1597146751708,1597146755047,1597146755061
lastname,Autofill,Potter,TEXT,1597146751708,1597146755047,1597146755065
address,Autofill,"4, Privet Drive",TEXT,1597146751708,1597146755047,1597146755071
country,Autofill,United Kingdom,SELECT,1597146751708,1597146755047,1597146755073
pin,Autofill,RG12 9FG,TEXT,1597146751708,1597146755047,1597146755075
email,Autofill,harry.potter@hogwarts.com,TEXT,1597146751708,1597146755047,1597146755077
phone,Autofill,,TEXT,1597146751708,1597146755047,1597146755079
city,Autofill,Surrey,TEXT,1597146751708,1597146755047,1597146755081
state,Autofill,,TEXT,1597146751708,1597146755047,1597146755083
profession students,True,students,SELECT,1597146758560,1597146762293,1597146762304
profession student,True,student,SELECT,1597146765828,1597146768590,1597146768595
landmark School,True,School,TEXT,1597146770052,1597146773123,1597146773130
phone 52 1396 1394,True,5213961394,TEXT,1597146774347,1597146783667,1597146783676
state Bedford,True,Bedford,TEXT,1597146785204,1597146788678,1597146788692
stage Watford,False,,,1597146789733,1597146793778,
gender name,True,name,FORM,1597146795636,1597146798119,
gender male,True,male,RADIO,1597146800550,1597146803422,1597146803439
vehicle bike,True,bike,CHECKBOX,1597146808927,1597146811813,1597146811899
age 20,True,20,RANGE,1597146813739,1597146817016,1597146817038
description short description about Harry Potter,True,short description about Harry Potter,TEXTAREA,1597146817871,1597146823585,1597146823600
save,True,,,1597146824908,1597146827165,1597146827176
