command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,Harry,TEXT,1597085928900,1597085931212,1597085931224
lastname,Autofill,Potter,TEXT,1597085928900,1597085931212,1597085931228
address,Autofill,"4, Privet Drive",TEXT,1597085928900,1597085931212,1597085931230
country,Autofill,United Kingdom,SELECT,1597085928900,1597085931212,1597085931232
pin,Autofill,RG12 9FG,TEXT,1597085928900,1597085931212,1597085931235
email,Autofill,harry.potter@hogwarts.com,TEXT,1597085928900,1597085931212,1597085931237
phone,Autofill,TEXT,1597085928900,1597085931212,1597085931238
city,Autofill,Surrey,TEXT,1597085928900,1597085931212,1597085931240
state,Autofill,,TEXT,1597085928900,1597085931212,1597085931242
phone 52 1396 1394,True,5213961394,TEXT,1597085933026,1597085940193,1597085940213
steak Watford,False,,,1597085941533,1597085943703,1597085943715
state Waterford,True,Waterford,TEXT,1597085945842,1597085948585,1597085948597
speak Watford,False,,,1597085949319,1597085953940,1597085953954
gender male,True,male,RADIO,1597085955040,1597085957348,1597085957365
vehicle bike,True,bike,CHECKBOX,1597085958262,1597085960450,1597085960463
profession student,True,student,SELECT,1597085964828,1597085967645,1597085967659
landmark School,True,School,TEXT,1597085969307,1597085971949,1597085971968
description this is a short description about Harry Potter which was written by JK Rowling,True,this is a short description about Harry Potter which was written by JK Rowling,TEXTAREA,1597085973067,1597085980612,1597085980626
skip,False,,,1597085981416,1597085982583,1597085982598
save,True,,,1597085983307,1597085986940,1597085986950
