command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
auto seal Harry Potter,False,,,1597741205348,1597741209240,
firstname,Autofill,Harry,TEXT,1597741214067,1597741217653,1597741217664
lastname,Autofill,Potter,TEXT,1597741214067,1597741217653,1597741217666
address,Autofill,"4, Privet Drive",TEXT,1597741214067,1597741217653,1597741217668
country,Autofill,United Kingdom,SELECT,1597741214067,1597741217653,1597741217672
pin,Autofill,RG12 9FG,TEXT,1597741214067,1597741217653,1597741217676
email,Autofill,harry.potter@hogwarts.com,TEXT,1597741214067,1597741217653,1597741217678
phone,Autofill,,TEXT,1597741214067,1597741217653,1597741217680
city,Autofill,Surrey,TEXT,1597741214067,1597741217653,1597741217685
state,Autofill,,TEXT,1597741214067,1597741217653,1597741217688
profession student,True,student,SELECT,1597741219596,1597741223285,1597741223297
landmark School,True,School,TEXT,1597741224535,1597741228115,1597741228125
phone 52 1396 1394,True,5213961394,TEXT,1597741229147,1597741237706,1597741237717
state Watford,True,Watford,TEXT,1597741239040,1597741242863,1597741242872
gender mean,True,mean,FORM,1597741243698,1597741247352,
gender reveal,True,reveal,FORM,1597741248279,1597741252050,
dinner meal,False,,,1597741253161,1597741257059,
gender male,True,male,RADIO,1597741260573,1597741264607,1597741264621
vehicle bike,True,bike,CHECKBOX,1597741266026,1597741274270,1597741274291
age,True,,,1597741276284,1597741278518,
Age 820,True,820,RANGE,1597741279286,1597741282655,1597741282664
description porterfield,True,porterfield,TEXTAREA,1597741285196,1597741289250,1597741289267
save,True,,,1597741290679,1597741294732,1597741294741
