command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,Harry,TEXT,1598024838884,1598024841874,1598024841885
lastname,Autofill,Potter,TEXT,1598024838884,1598024841874,1598024841891
address,Autofill,"4, Privet Drive",TEXT,1598024838884,1598024841874,1598024841893
country,Autofill,United Kingdom,SELECT,1598024838884,1598024841874,1598024841896
pin,Autofill,RG12 9FG,TEXT,1598024838884,1598024841874,1598024841899
email,Autofill,harry.potter@hogwarts.com,TEXT,1598024838884,1598024841874,1598024841902
phone,Autofill,,TEXT,1598024838884,1598024841874,1598024841904
city,Autofill,Surrey,TEXT,1598024838884,1598024841874,1598024841906
state,Autofill,,TEXT,1598024838884,1598024841874,1598024841908
profession student,True,student,SELECT,1598024844532,1598024847389,1598024847400
landmark School,True,School,TEXT,1598024849109,1598024851918,1598024851925
phone 52 1396 1394,True,5213961394,TEXT,1598024853250,1598024864966,1598024864976
state Watford,True,Watford,TEXT,1598024869994,1598024872880,1598024872892
gender male,True,male,RADIO,1598024874552,1598024877233,1598024877246
vehicle bike,True,bike,CHECKBOX,1598024879106,1598024881769,1598024881780
age 20,True,20,RANGE,1598024883323,1598024885932,1598024885947
description this is a description about Harry Potter written by JK Rowling,True,this is a description about Harry Potter written by JK Rowling,TEXTAREA,1598024887802,1598024893783,1598024893794
save,True,,,1598024895291,1598024897036,1598024897045
