command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,Pablo,TEXT,1597139719641,1597139723699,1597139723714
lastname,Autofill,Escobar,TEXT,1597139719641,1597139723699,1597139723720
address,Autofill,5860 North Bay Road,TEXT,1597139719641,1597139723699,1597139723729
country,Autofill,USA,SELECT,1597139719641,1597139723699,1597139723732
pin,Autofill,33140,TEXT,1597139719641,1597139723699,1597139723735
email,Autofill,escobar@netflix.com,TEXT,1597139719641,1597139723699,1597139723738
phone,Autofill,0112276899,TEXT,1597139719641,1597139723699,1597139723740
city,Autofill,Miami,TEXT,1597139719641,1597139723699,1597139723743
state,Autofill,,TEXT,1597139719641,1597139723699,1597139723745
firstname,Autofill,Harry,TEXT,1597139725823,1597139733353,1597139733364
lastname,Autofill,Potter,TEXT,1597139725823,1597139733353,1597139733366
address,Autofill,"4, Privet Drive",TEXT,1597139725823,1597139733353,1597139733369
country,Autofill,United Kingdom,SELECT,1597139725823,1597139733353,1597139733371
pin,Autofill,RG12 9FG,TEXT,1597139725823,1597139733353,1597139733373
email,Autofill,harry.potter@hogwarts.com,TEXT,1597139725823,1597139733353,1597139733374
phone,Autofill,,TEXT,1597139725823,1597139733353,1597139733376
city,Autofill,Surrey,TEXT,1597139725823,1597139733353,1597139733380
state,Autofill,,TEXT,1597139725823,1597139733353,1597139733384
pro fishing student,False,,,1597139735772,1597139738820,
profession student,True,student,SELECT,1597139740362,1597139744093,1597139744102
landmark School,True,School,TEXT,1597139744906,1597139748034,1597139748042
phone 52 1396 1394,True,5213961394,TEXT,1597139749689,1597139756580,1597139756588
state what food,True,what food,TEXT,1597139758715,1597139762048,1597139762058
state what food,True,what food,TEXT,1597139763082,1597139767373,1597139767379
state,Keyboard +5-2,Watford,TEXT,1597139771099,,1597139780729
gender male,True,male,RADIO,1597139781637,1597139784722,1597139784732
the hinkle bike,False,,,1597139786342,1597139789758,
the hinkle bike,False,,,1597139790975,1597139794140,
bohica bike,False,,,1597139795054,1597139798342,
state,Keyboard +5-2,Watford,TEXT,1597139771099,,1597139800228
state,Autofill,Watford,TEXT,1597139780735,,1597139800232
state,Autofill,Watford,TEXT,1597139800226,,1597139800238
vehicle,Mouse Click,bike,CHECKBOX,1597139800251,,1597139802783
820,False,,,1597139803692,1597139806921,
820,False,,,1597139807844,1597139811403,
description this is a short description about Harry Potter,True,this is a short description about Harry Potter,TEXTAREA,1597139815014,1597139820751,1597139820765
820,False,,,1597139822076,1597139825908,
vehicle,Mouse Click,bike,CHECKBOX,1597139800251,,1597139828958
vehicle,Autofill,bike,CHECKBOX,1597139802796,,1597139828963
vehicle,Autofill,bike,CHECKBOX,1597139828954,,1597139828966
range,Autofill,20,RANGE,1597139828971,,1597139838782
save,True,,,1597139839689,1597139841728,1597139841739
