command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,Harry,TEXT,1597759243168,1597759246883,1597759246893
lastname,Autofill,Potter,TEXT,1597759243168,1597759246883,1597759246897
address,Autofill,"4, Privet Drive",TEXT,1597759243168,1597759246883,1597759246899
country,Autofill,United Kingdom,SELECT,1597759243168,1597759246883,1597759246905
pin,Autofill,RG12 9FG,TEXT,1597759243168,1597759246883,1597759246908
email,Autofill,harry.potter@hogwarts.com,TEXT,1597759243168,1597759246883,1597759246909
phone,Autofill,,TEXT,1597759243168,1597759246883,1597759246912
city,Autofill,Surrey,TEXT,1597759243168,1597759246883,1597759246913
state,Autofill,,TEXT,1597759243168,1597759246883,1597759246917
profession student,True,student,SELECT,1597759249323,1597759251543,1597759251559
landmark School,True,School,TEXT,1597759252279,1597759254600,1597759254606
phone 5 to 139 694,True,52139694,TEXT,1597759255630,1597759262340,1597759262350
state Watford,True,Watford,TEXT,1597759263061,1597759265586,1597759265596
gender male,True,male,RADIO,1597759266310,1597759268526,1597759268534
vehicle bike,True,bike,CHECKBOX,1597759269242,1597759271901,1597759271910
820,False,,,1597759272836,1597759275161,
age 20,True,20,RANGE,1597759276269,1597759278930,1597759278938
description test,True,test,TEXTAREA,1597759279766,1597759282388,1597759282398
save,True,,,1597759284120,1597759285884,1597759285893
