command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,Harry,TEXT,1597906987040,1597906990128,1597906990141
lastname,Autofill,Potter,TEXT,1597906987040,1597906990128,1597906990153
address,Autofill,"4, Privet Drive",TEXT,1597906987040,1597906990128,1597906990156
country,Autofill,United Kingdom,SELECT,1597906987040,1597906990128,1597906990159
pin,Autofill,RG12 9FG,TEXT,1597906987040,1597906990128,1597906990161
email,Autofill,harry.potter@hogwarts.com,TEXT,1597906987040,1597906990128,1597906990163
phone,Autofill,,TEXT,1597906987040,1597906990128,1597906990165
city,Autofill,Surrey,TEXT,1597906987040,1597906990128,1597906990167
state,Autofill,,TEXT,1597906987040,1597906990128,1597906990170
profession student,True,student,SELECT,1597906991644,1597906994066,1597906994074
landmark School,True,School,TEXT,1597906995092,1597906997552,1597906997560
phone 5 to 139 694,True,52139694,TEXT,1597906998639,1597907005110,1597907005122
state Watford,True,Watford,TEXT,1597907006227,1597907009051,1597907009062
vehicle bike,True,bike,CHECKBOX,1597907010096,1597907012854,1597907012866
age 20,True,20,RANGE,1597907013869,1597907016128,1597907016135
description short description Harry Potter,True,short description Harry Potter,TEXTAREA,1597907016940,1597907020958,1597907020964
gender male,True,male,RADIO,1597907022003,1597907024783,1597907024793
save,True,,,1597907025794,1597907027450,1597907027457
