command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
Otto fuel hairy autoview head,False,,,1597911664104,1597911670800,
Harry Potter auto feel Harry Potter,False,,,1597911672982,1597911677169,
how to feel hairy,False,,,1597911679178,1597911681667,
auto fail Harry Potter,False,,,1597911683597,1597911686986,
firstname,Autofill,Harry,TEXT,1597911690013,1597911693257,1597911693270
lastname,Autofill,Potter,TEXT,1597911690013,1597911693257,1597911693273
address,Autofill,"4, Privet Drive",TEXT,1597911690013,1597911693257,1597911693275
country,Autofill,United Kingdom,SELECT,1597911690013,1597911693257,1597911693278
pin,Autofill,RG12 9FG,TEXT,1597911690013,1597911693257,1597911693280
email,Autofill,harry.potter@hogwarts.com,TEXT,1597911690013,1597911693257,1597911693283
phone,Autofill,,TEXT,1597911690013,1597911693257,1597911693285
city,Autofill,Surrey,TEXT,1597911690013,1597911693257,1597911693287
state,Autofill,,TEXT,1597911690013,1597911693257,1597911693290
description something,True,something,TEXTAREA,1597911696176,1597911699198,1597911699205
very.co bike vehicle bike,False,,,1597911700720,1597911707771,
vehicle bike,True,bike,CHECKBOX,1597911709326,1597911711951,1597911711965
age 20,True,20,RANGE,1597911714274,1597911716709,1597911716716
gender male,True,male,RADIO,1597911717526,1597911719882,1597911719894
state Watford,True,Watford,TEXT,1597911720828,1597911724327,1597911724334
phone,True,,,1597911726457,1597911729075,
phone 52,True,52,TEXT,1597911729906,1597911732507,1597911732514
phone 5 to 139 694,True,52139694,TEXT,1597911734645,1597911744553,1597911744565
landmark School,True,School,TEXT,1597911747685,1597911752372,1597911752381
profession student,True,student,SELECT,1597911753905,1597911756541,1597911756552
save,True,,,1597911757762,1597911759741,1597911759749
