command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
address,Autofill,,TEXT,1597395760213,,1597395761771
what does Anansi,False,,,1597395778756,1597395781086,
I do feel Nancy,False,,,1597395782722,1597395785455,
firstname,Autofill,Nancy,TEXT,1597395788366,1597395791298,1597395791309
lastname,Autofill,Drew,TEXT,1597395788366,1597395791298,1597395791311
address,Autofill,"69, Seeawl Lane",TEXT,1597395788366,1597395791298,1597395791313
country,Autofill,USA,SELECT,1597395788366,1597395791298,1597395791316
pin,Autofill,07101,TEXT,1597395788366,1597395791298,1597395791317
email,Autofill,nancy.drew@sleuth.com,TEXT,1597395788366,1597395791298,1597395791319
phone,Autofill,1286659805,TEXT,1597395788366,1597395791298,1597395791322
city,Autofill,River Heights,TEXT,1597395788366,1597395791298,1597395791326
state,Autofill,,TEXT,1597395788366,1597395791298,1597395791328
profession detective,True,detective,SELECT,1597395793520,1597395796006,1597395796015
landmark police station,True,police station,TEXT,1597395797535,1597395800554,1597395800560
save Florida,False,,,1597395802170,1597395805073,
state Florida,True,Florida,TEXT,1597395806607,1597395809537,1597395809547
gender female,True,female,RADIO,1597395811365,1597395813814,1597395813822
vehicle boat,True,boat,CHECKBOX,1597395814929,1597395817295,1597395817311
h25,False,,,1597395818140,1597395820624,
age 25,True,25,RANGE,1597395821348,1597395824633,1597395824644
description this is the Nancy details page,True,this is the Nancy details page,TEXTAREA,1597395825864,1597395831271,1597395831280
seal,False,,,1597395832990,1597395834916,
save,True,,,1597395835842,1597395837627,1597395837635
