command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,Nancy,TEXT,1597922356978,1597922359645,1597922359654
lastname,Autofill,Drew,TEXT,1597922356978,1597922359645,1597922359657
address,Autofill,"69, Seeawl Lane",TEXT,1597922356978,1597922359645,1597922359659
country,Autofill,USA,SELECT,1597922356978,1597922359645,1597922359661
pin,Autofill,07101,TEXT,1597922356978,1597922359645,1597922359663
email,Autofill,nancy.drew@sleuth.com,TEXT,1597922356978,1597922359645,1597922359665
phone,Autofill,1286659805,TEXT,1597922356978,1597922359645,1597922359666
city,Autofill,River Heights,TEXT,1597922356978,1597922359645,1597922359668
state,Autofill,,TEXT,1597922356978,1597922359645,1597922359672
profession detective landmark,True,detective landmark,SELECT,1597922361355,1597922365296,1597922365302
profession detective,True,detective,SELECT,1597922366810,1597922369063,1597922369071
landmark police station,True,police station,TEXT,1597922369902,1597922372501,1597922372506
state Florida,True,Florida,TEXT,1597922373269,1597922375456,1597922375463
gender male,True,male,RADIO,1597922376212,1597922378485,1597922378493
vehicle boat,True,boat,CHECKBOX,1597922379354,1597922381726,1597922381738
description give any description,True,give any description,TEXTAREA,1597922382647,1597922385615,1597922385623
age 25 save,True,25 save,RANGE,1597922386529,1597922389929,1597922389938
save,True,,,1597922391261,1597922393482,1597922393499
