command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
Nancy Drew,False,,,1597749245828,1597749248990,
Nancy Drew,False,,,1597749250910,1597749255692,
wonderful,False,,,1597749258506,1597749260762,
autosave,False,,,1597749261770,1597749264263,
Nancy Drew,False,,,1597749265405,1597749266801,
Auto-Trail Nancy Drew,False,,,1597749272964,1597749276824,
I dolphin,False,,,1597749278766,1597749281215,
firstname,Autofill,Nancy,TEXT,1597749282030,1597749287764,1597749287773
lastname,Autofill,Drew,TEXT,1597749282030,1597749287764,1597749287775
address,Autofill,"69, Seeawl Lane",TEXT,1597749282030,1597749287764,1597749287777
country,Autofill,USA,SELECT,1597749282030,1597749287764,1597749287780
pin,Autofill,07101,TEXT,1597749282030,1597749287764,1597749287783
email,Autofill,nancy.drew@sleuth.com,TEXT,1597749282030,1597749287764,1597749287785
phone,Autofill,1286659805,TEXT,1597749282030,1597749287764,1597749287788
city,Autofill,River Heights,TEXT,1597749282030,1597749287764,1597749287790
state,Autofill,,TEXT,1597749282030,1597749287764,1597749287792
profession detective,True,detective,SELECT,1597749290487,1597749293621,1597749293630
landmark police station,True,police station,TEXT,1597749294781,1597749298115,1597749298128
state Florida,True,Florida,TEXT,1597749299652,1597749302747,1597749302761
gender male,True,male,RADIO,1597749303691,1597749307299,1597749307322
gender female,True,female,RADIO,1597749308442,1597749312110,1597749312124
Viking boat,False,,,1597749313332,1597749316207,
Vega boat,False,,,1597749317651,1597749321070,
vehicle boat,True,boat,CHECKBOX,1597749322414,1597749325639,1597749325652
age 25,True,25,RANGE,1597749326967,1597749330492,1597749330501
description my name is Tom,True,my name is Tom,TEXTAREA,1597749331606,1597749335854,1597749335864
save,True,,,1597749337671,1597749342818,1597749342826
