command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,Nancy,TEXT,1597735354765,1597735357449,1597735357459
lastname,Autofill,Drew,TEXT,1597735354765,1597735357449,1597735357461
address,Autofill,"69, Seeawl Lane",TEXT,1597735354765,1597735357449,1597735357463
country,Autofill,USA,SELECT,1597735354765,1597735357449,1597735357464
pin,Autofill,07101,TEXT,1597735354765,1597735357449,1597735357466
email,Autofill,nancy.drew@sleuth.com,TEXT,1597735354765,1597735357449,1597735357467
phone,Autofill,1286659805,TEXT,1597735354765,1597735357449,1597735357468
city,Autofill,River Heights,TEXT,1597735354765,1597735357449,1597735357470
state,Autofill,,TEXT,1597735354765,1597735357449,1597735357471
profession detective,True,detective,SELECT,1597735359360,1597735361818,1597735361826
landmark police station,True,police station,TEXT,1597735362538,1597735365267,1597735365273
state Florida,True,Florida,TEXT,1597735366000,1597735368173,1597735368184
gender female,True,female,RADIO,1597735369097,1597735371650,1597735371661
hey Google boat,False,,,1597735372497,1597735374600,
play board,False,,,1597735376426,1597735379100,
age 25,True,25,RANGE,1597735380344,1597735382701,1597735382710
description No comments,True,No comments,TEXTAREA,1597735383630,1597735385826,1597735385835
vehicle,True,,,1597735386953,1597735389111,
Vehicle vote,True,vote,FORM,1597735389972,1597735391363,
cehegin boat,False,,,1597735392289,1597735394644,
the heekin boat,False,,,1597735396191,1597735399305,
vehicle,Mouse Click,boat,CHECKBOX,1597735405457,,1597735407188
save,True,,,1597735407999,1597735410235,1597735410240
