command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,Nancy,TEXT,1597407871764,1597407874561,1597407874574
lastname,Autofill,Drew,TEXT,1597407871764,1597407874561,1597407874578
address,Autofill,"69, Seeawl Lane",TEXT,1597407871764,1597407874561,1597407874581
country,Autofill,USA,SELECT,1597407871764,1597407874561,1597407874584
pin,Autofill,07101,TEXT,1597407871764,1597407874561,1597407874591
email,Autofill,nancy.drew@sleuth.com,TEXT,1597407871764,1597407874561,1597407874593
phone,Autofill,1286659805,TEXT,1597407871764,1597407874561,1597407874595
city,Autofill,River Heights,TEXT,1597407871764,1597407874561,1597407874597
state,Autofill,,TEXT,1597407871764,1597407874561,1597407874600
last name Drew,True,Drew,TEXT,1597407875688,1597407879005,1597407879012
profession detective,True,detective,SELECT,1597407880670,1597407888581,1597407888591
landmark police station,True,police station,TEXT,1597407889613,1597407892834,1597407892846
state Florida,True,Florida,TEXT,1597407893855,1597407897583,1597407897592
gender male,True,male,RADIO,1597407898513,1597407900814,1597407900820
Google bike,False,,,1597407901720,1597407903807,
vehicle boat,True,boat,CHECKBOX,1597407907433,1597407910963,1597407910979
age 25,True,25,RANGE,1597407912280,1597407915198,1597407915208
description this is a short description about Nancy Drew,True,this is a short description about Nancy Drew,TEXTAREA,1597407916009,1597407921756,1597407921763
save,True,,,1597407922670,1597407924710,1597407924720
