command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
firstname,Autofill,Nancy,TEXT,1597840543875,1597840548139,1597840548148
lastname,Autofill,Drew,TEXT,1597840543875,1597840548139,1597840548150
address,Autofill,"69, Seeawl Lane",TEXT,1597840543875,1597840548139,1597840548155
country,Autofill,USA,SELECT,1597840543875,1597840548139,1597840548158
pin,Autofill,07101,TEXT,1597840543875,1597840548139,1597840548160
email,Autofill,nancy.drew@sleuth.com,TEXT,1597840543875,1597840548139,1597840548162
phone,Autofill,1286659805,TEXT,1597840543875,1597840548139,1597840548164
city,Autofill,River Heights,TEXT,1597840543875,1597840548139,1597840548166
state,Autofill,,TEXT,1597840543875,1597840548139,1597840548168
profession detective,True,detective,SELECT,1597840550866,1597840553486,1597840553494
landmark police station,True,police station,TEXT,1597840555405,1597840558771,1597840558777
state Florida,True,Florida,TEXT,1597840560550,1597840563005,1597840563012
gender female,True,female,RADIO,1597840564624,1597840566799,1597840566805
virtual boat,False,,,1597840568515,1597840571161,
vehicle boat,True,boat,CHECKBOX,1597840573482,1597840576986,1597840576995
age 25,True,25,RANGE,1597840579932,1597840582395,1597840582405
description about Nancy,True,about Nancy,TEXTAREA,1597840584533,1597840588466,1597840588473
save,True,,,1597840589329,1597840591201,1597840591207
