command,isKeyDetected,value,type,time_listen_start / focus_in_time,time_transcribed,time_inserted / focus_out_time
but still good,False,,,1597407121739,1597407123927,
pin,True,,,1597407127450,1597407129904,
Postal code WHAT'S THE WEATHER TODAY,True,WHAT'S THE WEATHER TODAY,TEXT,1597407132322,1597407134970,1597407134979
pin,True,,,1597407138712,1597407141280,
Postal code RG12 9FG,True,RG12 9FG,TEXT,1597407141991,1597407146243,1597407146250
landmark,True,,,1597407149471,1597407151691,
Landmark School,True,School,TEXT,1597407152921,1597407154736,1597407154745
gender mean,True,mean,FORM,1597407158045,1597407161802,
gender male,True,male,RADIO,1597407163323,1597407167249,1597407167255
save,True,,,1597407171354,1597407174779,1597407174784
